neighborhood,num_listings
78701,669
78702,1450
78703,586
78704,2180
78705,599
78712,3
78717,55
78719,2
78721,232
78722,222
78723,352
78724,88
78725,76
78726,13
78727,88
78728,69
78729,94
78730,39
78731,145
78732,49
78733,82
78734,209
78735,60
78736,54
78737,104
78738,51
78739,28
78741,760
78742,6
78744,185
78745,530
78746,301
78747,41
78748,161
78749,122
78750,46
78751,482
78752,108
78753,96
78754,101
78756,167
78757,219
78758,210
78759,116
