neighborhood,num_listings
Algiers Point,60
Audubon,118
B. W. Cooper,2
Bayou St. John,130
Behrman,18
Black Pearl,24
Broadmoor,125
Bywater,211
Central Business District,902
Central City,487
City Park,61
Desire Area,9
Dillard,40
Dixon,3
East Carrollton,62
East Riverside,106
Fairgrounds,159
Fillmore,56
Florida Area,7
French Quarter,183
Freret,45
Garden District,39
Gentilly Terrace,81
Gentilly Woods,11
Gert Town,18
Hollygrove,23
Holy Cross,50
Iberville,6
Irish Channel,124
Lake Catherine,16
Lake Terrace & Oaks,3
Lakeshore - Lake Vista,2
Lakeview,29
Lakewood,3
Leonidas,128
Little Woods,54
Lower Garden District,305
Lower Ninth Ward,19
Marigny,362
Marlyville - Fontainbleau,93
Mcdonogh,33
Mid-City,378
Milan,105
Milneburg,40
Navarre,21
New Aurora - English Turn,2
Old Aurora,37
Pines Village,8
Plum Orchard,10
Pontchartrain Park,7
Read Blvd East,8
Read Blvd West,4
Seventh Ward,412
St.  Anthony,37
St. Bernard Area,7
St. Claude,238
St. Roch,145
St. Thomas Dev,58
Tall Timbers - Brechtel,24
Touro,38
Treme - Lafitte,339
Tulane - Gravier,137
U.S. Naval Base,3
Uptown,107
Viavant - Venetian Isles,3
Village De Lest,4
West End,17
West Lake Forest,4
West Riverside,107
Whitney,13
