id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,guests_included
18465,"Ocean Escape, Your Perfect Spot!",71120,Mike And Nicky,Primary Urban Center,Primary Urban Center,21.27508,-157.82213,Entire home/apt,175,3,68,11/3/2019,0.61,5,298,Honolulu,2
18466,Mountain Retreat. Affordable Luxury,71120,Mike And Nicky,Primary Urban Center,Primary Urban Center,21.2737,-157.8217,Entire home/apt,169,7,67,11/11/2019,0.59,5,218,Honolulu,2
20562,"""Peacock"" Studio w/FREE Parking & Full Kitchen",77633,Tom,Primary Urban Center,Primary Urban Center,21.27977,-157.82627,Entire home/apt,138,1,6,11/27/2019,0.1,6,221,Honolulu,2
37099,RARE HAWAIIAN DIAMOND,85234,Kurt,Primary Urban Center,Primary Urban Center,21.26977,-157.82282,Entire home/apt,125,4,210,11/17/2019,1.86,6,206,Honolulu,2
38634,Beautiful Oceanfront sunny Waikiki,165595,Dana,Primary Urban Center,Primary Urban Center,21.28505,-157.83788,Private room,220,2,265,11/10/2019,2.37,4,228,Honolulu,2
58609,"Air Conditioned, Upscale & Quiet",280659,Arun,East Honolulu,East Honolulu,21.2822,-157.75508,Private room,60,30,166,10/5/2019,1.63,1,173,Honolulu,1
104447,Waikiki Gem at Century Center,71120,Mike And Nicky,Primary Urban Center,Primary Urban Center,21.29182,-157.83662,Entire home/apt,85,30,55,6/30/2019,0.77,5,321,Honolulu,2
104452,"The ""Shangri La"" at Fairway Villa",71120,Mike And Nicky,Primary Urban Center,Primary Urban Center,21.2808,-157.82422,Entire home/apt,92,30,40,10/3/2019,0.48,5,285,Honolulu,2
138781,19C | Ashanti Bedroom for 1-2 | Shared Apartment,677327,Richard,Primary Urban Center,Primary Urban Center,21.30156,-157.84311,Private room,60,1,100,11/28/2019,0.99,15,19,Honolulu,1
152046,THE HAPPIEST SPACE - WAIKIKI SMILES,85234,Kurt,Primary Urban Center,Primary Urban Center,21.27293,-157.82122,Entire home/apt,99,4,274,11/18/2019,2.7,6,286,Honolulu,2
197959,Penthouse Studio w/Sunset Ocean vws,965391,Babs,Primary Urban Center,Primary Urban Center,21.28846,-157.8411,Entire home/apt,125,4,112,11/11/2019,1.17,1,286,Honolulu,2
239370,"äÖƒWaikiki Sunset Apt w/FREE PARKING, Wifi, pool etc",1255224,Asami,Primary Urban Center,Primary Urban Center,21.27646,-157.82277,Entire home/apt,146,2,72,11/6/2019,0.82,2,222,Honolulu,1
263442,Ocean View Cottage with Separate Suite,1382491,Micah,East Honolulu,East Honolulu,21.30803,-157.70762,Entire home/apt,249,5,28,10/26/2019,0.31,3,1,Honolulu,2
288185,Attached Studio In Marina home,1205120,Maggie,East Honolulu,East Honolulu,21.29047,-157.70857,Private room,80,30,107,6/12/2019,1.14,1,335,Honolulu,1
300379,19A | Rustic small private room | Shared apartment,677327,Richard,Primary Urban Center,Primary Urban Center,21.30116,-157.84251,Private room,55,1,143,11/26/2019,1.5,15,0,Honolulu,1
370635,Hawaii Basecamp to Sun & Surf äù_¥Ÿè,1867700,Norman,Primary Urban Center,Primary Urban Center,21.28632,-157.83227,Entire home/apt,130,1,125,11/11/2019,1.33,6,233,Honolulu,2
374166,Hawaii Basecamp to Adventure äù_¥Ÿè,1867700,Norman,Primary Urban Center,Primary Urban Center,21.28612,-157.8333,Entire home/apt,130,1,117,11/17/2019,1.25,6,237,Honolulu,2
385185,Near the World Famous Hanauma Bay,1928202,Meera,East Honolulu,East Honolulu,21.27188,-157.70251,Private room,80,5,232,11/19/2019,2.52,2,95,Honolulu,1
412085,Hidden Jungle 10 min. from Waikiki,2051257,Vanesa,Primary Urban Center,Primary Urban Center,21.31159,-157.7817,Private room,60,3,30,4/30/2019,0.34,2,0,Honolulu,2
416853,LOOK!äÖÊCHEAPEST CONDO IN THIS HOTELäÖÊ,2073003,Chin & Twu,Primary Urban Center,Primary Urban Center,21.27936,-157.82315,Entire home/apt,109,3,295,11/19/2019,3.19,4,290,Honolulu,1
449489,Private Entrance Garden Studio ,2232017,Kari,Primary Urban Center,Primary Urban Center,21.28585,-157.81128,Entire home/apt,125,1,23,10/7/2019,0.27,3,344,Honolulu,2
497782,Waikiki Panoramic ocean view Studio,2456676,Eriko,Primary Urban Center,Primary Urban Center,21.28056,-157.82542,Entire home/apt,85,30,49,7/31/2018,0.54,2,213,Honolulu,2
512183,Charming Cottage Home near Waikiki,2232017,Kari,Primary Urban Center,Primary Urban Center,21.28485,-157.81263,Entire home/apt,350,1,24,8/7/2017,0.3,3,344,Honolulu,4
521895,904 Cozy Studio Central Waikiki Penthouse Floor,1671879,Roger,Primary Urban Center,Primary Urban Center,21.28187,-157.82774,Entire home/apt,99,2,97,10/7/2019,1.08,5,224,Honolulu,1
551138,ComfortableäÖÊ1BR.@ Kapahulu,2709332,Kohala Rentals,Primary Urban Center,Primary Urban Center,21.27648,-157.81461,Entire home/apt,60,30,90,11/1/2019,1,4,80,Honolulu,2
596595,Cozyä»ç1BR Dog Friendly apt. @ Kapahulu,2709332,Kohala Rentals,Primary Urban Center,Primary Urban Center,21.27628,-157.81407,Entire home/apt,50,30,74,11/17/2019,0.84,4,77,Honolulu,2
633314,TROPICAL STUDIO IN WAIKIKI (1) ~ FREE PARKING #607,3152360,Nikodem,Primary Urban Center,Primary Urban Center,21.28086,-157.82846,Entire home/apt,175,1,75,10/22/2019,0.86,14,336,Honolulu,2
660316,Wonderful Waikiki Condo Special Dec/Christmas rate,3332623,Tiare,Primary Urban Center,Primary Urban Center,21.27899,-157.82374,Entire home/apt,165,3,180,11/3/2019,2.09,16,248,Honolulu,1
663618,"""SeaBreeze""BeachFront Ilikai Marina (Legal Rental)",3317450,Angie,Primary Urban Center,Primary Urban Center,21.28481,-157.83966,Entire home/apt,99,5,233,11/24/2019,2.65,4,291,Honolulu,2
669834,Waikiki wonderful view Studio,2456676,Eriko,Primary Urban Center,Primary Urban Center,21.28654,-157.83319,Entire home/apt,68,30,47,8/18/2019,0.56,2,252,Honolulu,1
697039,"3506, Beautiful 2 BR/2BTH 2 Studio Apartments",1671879,Roger,Primary Urban Center,Primary Urban Center,21.28752,-157.83306,Entire home/apt,169,1,119,11/2/2019,1.38,5,257,Honolulu,4
710538,Room in Honolulu- Malia Room,3644514,Mallorie,Primary Urban Center,Primary Urban Center,21.32883,-157.84721,Private room,34,30,25,11/23/2018,0.29,2,47,Honolulu,1
789456,Hip Modern Ocean Front Real One Bdr,4049989,Janna,Primary Urban Center,Primary Urban Center,21.28361,-157.83771,Entire home/apt,145,3,4,9/9/2019,0.08,4,1,Honolulu,2
792556,Amazing Location! Sunny and Clean,4172819,Miss,Primary Urban Center,Primary Urban Center,21.28696,-157.83832,Entire home/apt,115,30,27,10/11/2016,0.32,1,246,Honolulu,1
804274,"The Bird Cage, Waikiki Hideaway",4231961,Kevin,Primary Urban Center,Primary Urban Center,21.27228,-157.82093,Entire home/apt,155,3,88,11/27/2019,1.06,2,247,Honolulu,1
873736,äÖƒIsland Colony Apt with Free WIFI & PARKINGäÖÊ,1255224,Asami,Primary Urban Center,Primary Urban Center,21.28238,-157.82675,Entire home/apt,138,2,15,11/18/2019,0.18,2,274,Honolulu,1
877242,Hawaiian King Condo Unit 302 1BR,4636319,Paris,Primary Urban Center,Primary Urban Center,21.28006,-157.82543,Entire home/apt,110,4,33,11/9/2019,0.42,2,250,Honolulu,3
890857,"The ""PEARL"" in Beach Front Hotel! (Legal Rental)",3317450,Angie,Primary Urban Center,Primary Urban Center,21.2831,-157.83999,Entire home/apt,181,5,241,11/25/2019,2.95,4,0,Honolulu,2
935796,Modern Diamond Head One Bedroom Apartment,899157,Kevin,Primary Urban Center,Primary Urban Center,21.27357,-157.79939,Entire home/apt,119,30,177,11/8/2019,2.14,1,83,Honolulu,2
1001265,Ocean View Waikiki Marina w/prkg,5448114,David,Primary Urban Center,Primary Urban Center,21.28634,-157.83919,Entire home/apt,115,3,109,10/15/2019,1.37,13,298,Honolulu,1
1021219,BEAUTIFUL STUDIO FREE WIFI EXC LOC TAX INCLUDED,5256548,Olivier,Primary Urban Center,Primary Urban Center,21.28004,-157.82568,Entire home/apt,118,1,252,11/24/2019,3.15,7,222,Honolulu,2
1038689,CHARM STUDIO EXC LOCATION FREE WIFI TAX INCLUDED,5256548,Olivier,Primary Urban Center,Primary Urban Center,21.28053,-157.82674,Entire home/apt,125,1,192,11/1/2019,2.51,7,219,Honolulu,2
1084023,NICE STUDIO FREE WIFI EXC LOCATION TAX INCLUDED,5256548,Olivier,Primary Urban Center,Primary Urban Center,21.28206,-157.8265,Entire home/apt,118,1,239,10/31/2019,2.98,7,255,Honolulu,2
1089964,TROPICAL STUDIO IN WAIKIKI (2) ~ FREE PARKING #906,3152360,Nikodem,Primary Urban Center,Primary Urban Center,21.28041,-157.82692,Entire home/apt,175,1,71,11/7/2019,0.89,14,291,Honolulu,2
1104768,2 Bdrm/2 Bath  34 floor Family Suite Facing Ocean,1671879,Roger,Primary Urban Center,Primary Urban Center,21.27971,-157.82696,Entire home/apt,349,30,112,9/30/2019,1.43,5,244,Honolulu,6
1117636,STUDIO OCEAN VIEW FREE WIFI EXC LOC TAX INCLUDED,5256548,Olivier,Primary Urban Center,Primary Urban Center,21.28159,-157.82712,Entire home/apt,129,1,277,11/30/2019,3.57,7,221,Honolulu,2
1129061,Pineapple Paradise,6194110,Kelly,Primary Urban Center,Primary Urban Center,21.28572,-157.83857,Entire home/apt,135,2,109,11/26/2019,1.78,1,222,Honolulu,3
1154385,Waikiki Seaside Living,6326418,Alex,Primary Urban Center,Primary Urban Center,21.28176,-157.82896,Entire home/apt,113,2,128,11/14/2019,1.64,1,307,Honolulu,1
1214501,Waikiki Banyan 1-3410 Condo w/ Lanai / OCEAN VIEW,6629863,William Alan And Barbara,Primary Urban Center,Primary Urban Center,21.27546,-157.82105,Private room,199,5,70,11/15/2019,1.19,1,249,Honolulu,2
1229095,Panoramic Oceanview Luxury 2 Bed PH,5448114,David,Primary Urban Center,Primary Urban Center,21.28579,-157.83558,Entire home/apt,170,30,5,6/17/2019,0.17,13,220,Honolulu,1
1229106,Unit 310 Hawaiian King condo Waikiki,4636319,Paris,Primary Urban Center,Primary Urban Center,21.28084,-157.8266,Entire home/apt,97,4,44,11/16/2019,0.58,2,239,Honolulu,3
1252216,Ocean Front Waikiki Corner 2 X View,4049989,Janna,Primary Urban Center,Primary Urban Center,21.28449,-157.8391,Entire home/apt,192,3,5,8/1/2018,0.08,4,217,Honolulu,2
1268285,Cozy & Clean äÖÊ 1 Block to the beach,2073003,Chin & Twu,Primary Urban Center,Primary Urban Center,21.27526,-157.82056,Entire home/apt,109,3,229,11/18/2019,2.97,4,303,Honolulu,1
1303637,Gorgeous Waikiki Beach Ilikai ,6827732,Angie,Primary Urban Center,Primary Urban Center,21.28481,-157.83961,Entire home/apt,165,2,162,11/18/2019,2.09,1,181,Honolulu,1
1346576,Honolulu Waikiki Marina Studio,7054805,Eric,Primary Urban Center,Primary Urban Center,21.29033,-157.84755,Entire home/apt,209,2,20,8/13/2019,0.26,14,356,Honolulu,1
1349872,Relaxing Hawaii Get Away w/Sauna & Lomilomi!,7324234,Karen Lucky,Primary Urban Center,Primary Urban Center,21.30662,-157.81246,Private room,75,30,163,11/21/2019,2.12,5,0,Honolulu,1
1351707,Surfer Oasis in Central Waikiki,1616039,Christine,Primary Urban Center,Primary Urban Center,21.27957,-157.82645,Entire home/apt,135,3,213,11/20/2019,2.74,1,0,Honolulu,2
1364383,Tropical island cottage,7389185,Cara,East Honolulu,East Honolulu,21.28642,-157.7369,Entire home/apt,140,2,170,11/24/2019,4.02,1,212,Honolulu,1
1436904,Waikiki studio,7719195,Maria,Primary Urban Center,Primary Urban Center,21.29215,-157.84888,Entire home/apt,125,30,31,10/25/2019,0.41,1,188,Honolulu,1
1479829,Best Value Exec Centre Ocean view  Free Parking,479513,Robert,Primary Urban Center,Primary Urban Center,21.30888,-157.86171,Entire home/apt,190,30,22,1/24/2019,0.4,3,350,Honolulu,2
1499029,Hawaii-Kai KokoHead View with Lanai~Haunama Bay,8010538,Nohea,East Honolulu,East Honolulu,21.27524,-157.70081,Private room,72,2,155,12/1/2019,2.1,1,194,Honolulu,1
1500164,"Waikiki Park Hts #1002- 1 bedroom, FREE Pkg & WIFI",8016823,Lien,Primary Urban Center,Primary Urban Center,21.27561,-157.8218,Entire home/apt,155,7,75,11/9/2019,1.02,1,254,Honolulu,1
1500584,HEART OF WAIKIKI: 1 BD / Full Kitchen / Convenient,7321366,Carol,Primary Urban Center,Primary Urban Center,21.27951,-157.82544,Entire home/apt,125,2,77,12/1/2019,2.43,1,0,Honolulu,4
1503283,"Corporate Relo, Bus. Trip Stays - Prkg. W/D, WIFI",8031844,Terri & Don,Primary Urban Center,Primary Urban Center,21.27702,-157.79024,Entire home/apt,70,30,230,11/1/2019,3,1,264,Honolulu,1
1521554,Bright Amazing View Walk Everywhere,7996649,Laura,Primary Urban Center,Primary Urban Center,21.2865,-157.83295,Entire home/apt,111,1,50,12/3/2019,0.71,1,217,Honolulu,1
1581386,BELLARIA! An Oceanfront Beauty...(Legal Rental),3317450,Angie,Primary Urban Center,Primary Urban Center,21.28484,-157.83855,Entire home/apt,199,5,197,8/26/2019,2.6,4,269,Honolulu,2
1583670,Walk to beach - Cottage close to Waikiki,8434637,Marylu,Primary Urban Center,Primary Urban Center,21.27219,-157.81261,Entire home/apt,4500,31,68,8/17/2019,0.92,1,342,Honolulu,6
1602322,W05 Rent-a-car & parking off premises are optional,5004868,Jane,Primary Urban Center,Primary Urban Center,21.28319,-157.82871,Entire home/apt,150,1,160,10/24/2019,2.19,5,237,Honolulu,5
1605190,Beautiful ocean view apartment,8551876,Keith,Primary Urban Center,Primary Urban Center,21.27573,-157.82199,Entire home/apt,113,3,116,11/16/2019,1.59,3,153,Honolulu,2
1646411,TROPICAL STUDIO IN WAIKIKI (3)~ FREE PARKING #1210,3152360,Nikodem,Primary Urban Center,Primary Urban Center,21.28118,-157.82667,Entire home/apt,175,1,36,9/19/2019,0.5,14,308,Honolulu,2
1713565,Private Room/Bath with Oceanview,9037731,Doris,Primary Urban Center,Primary Urban Center,21.29049,-157.84919,Private room,90,30,18,10/8/2019,0.27,1,251,Honolulu,1
1726142,19B | Honu Bedroom for 1-2 | Shared Apartment,677327,Richard,Primary Urban Center,Primary Urban Center,21.30153,-157.84438,Private room,60,1,90,11/28/2019,1.26,15,29,Honolulu,1
1783189,The Red Ginger Suite,4231961,Kevin,Primary Urban Center,Primary Urban Center,21.27313,-157.82197,Entire home/apt,127,3,112,11/2/2019,1.51,2,253,Honolulu,1
1798328,"Stunning Oceanviews, FREE PARKING Heart of WAIKIKI",9431246,Jerry,Primary Urban Center,Primary Urban Center,21.27956,-157.82653,Entire home/apt,130,1,84,10/28/2019,2.76,10,21,Honolulu,2
1802856,ILIKAI 1734-One Bdrm Deluxe Lagoon and Ocean Views,7584514,Bano,Primary Urban Center,Primary Urban Center,21.28511,-157.83933,Entire home/apt,198,2,114,11/6/2019,1.78,10,297,Honolulu,2
1840061,Banyan House | Oahu's Finest Home,10496350,Elite Vacation Rentals,Primary Urban Center,Primary Urban Center,21.26026,-157.79029,Entire home/apt,10000,7,0,,,54,334,Honolulu,1
1843839,Hawaii Kai Kuliouou Valley,9408793,Ayumi & Robb,East Honolulu,East Honolulu,21.2944,-157.72721,Entire home/apt,110,1,314,11/20/2019,4.27,1,277,Honolulu,2
1846594,"The Ilikai...modern, clean, comfortable & private.",8551876,Keith,Primary Urban Center,Primary Urban Center,21.28333,-157.83757,Entire home/apt,135,1,43,9/19/2019,0.62,3,183,Honolulu,2
1881964,"High Floor Waikiki Condo 3 blks to beach, PARKING",9797360,Sana,Primary Urban Center,Primary Urban Center,21.2774,-157.82097,Entire home/apt,115,30,63,8/5/2019,0.87,2,293,Honolulu,1
1882019,"Beautiful Waterfront Property, Pool & Ocean Marina",9797535,Hale,East Honolulu,East Honolulu,21.29331,-157.70861,Entire home/apt,1571,8,5,8/9/2019,0.82,1,148,Honolulu,8
1893707,äù_¥Ÿè's Room äìîOcean View äìîLanai äìîSteps2 Beach äìîWifi,1677018,Francisco,Primary Urban Center,Primary Urban Center,21.27246,-157.82356,Entire home/apt,147,1,337,11/30/2019,4.43,4,134,Honolulu,1
1966730,Waikiki Island Colony 20th floor,10158518,Harmoni,Primary Urban Center,Primary Urban Center,21.28209,-157.82506,Entire home/apt,79,24,19,9/2/2019,0.27,2,111,Honolulu,4
1987551,"Best Location, Wonderful 1BR 1Bath",305996,Penny,Primary Urban Center,Primary Urban Center,21.27959,-157.82594,Entire home/apt,139,3,3,12/25/2016,0.04,1,1,Honolulu,4
2088200,Ala Moana hotel /condo in  5 star last min spec,10659328,Angel,Primary Urban Center,Primary Urban Center,21.29048,-157.8396,Private room,89,6,39,11/24/2019,1.14,1,318,Honolulu,1
2123817,Luxury Ocean Front 1BR On Waikiki Beach,3845781,Sarah,Primary Urban Center,Primary Urban Center,21.27301,-157.82249,Entire home/apt,200,25,4,7/31/2017,0.06,1,239,Honolulu,1
2142960,Aqua Palms incl Free WiFi & Parking - Resort Zoned,10937460,Martin,Primary Urban Center,Primary Urban Center,21.284,-157.83643,Entire home/apt,119,3,42,11/2/2019,0.62,4,194,Honolulu,1
