neighborhood,num_listings
Adams,129
Alki,107
Arbor Heights,24
Atlantic,128
Belltown,540
Bitter Lake,41
Briarcliff,21
Brighton,57
Broadview,39
Broadway,543
Bryant,58
Cedar Park,33
Central Business District,395
Columbia City,156
Crown Hill,36
Dunlap,36
East Queen Anne,136
Eastlake,92
Fairmount Park,48
Fauntleroy,30
First Hill,316
Fremont,269
Gatewood,56
Genesee,64
Georgetown,30
Green Lake,137
Greenwood,202
Haller Lake,66
Harbor Island,1
Harrison/Denny-Blaine,38
High Point,38
Highland Park,44
Holly Park,12
Industrial District,5
Interbay,40
International District,119
Laurelhurst,24
Lawton Park,77
Leschi,91
Lower Queen Anne,196
Loyal Heights,94
Madison Park,24
Madrona,68
Mann,166
Maple Leaf,65
Matthews Beach,38
Meadowbrook,22
Mid-Beacon Hill,87
Minor,291
Montlake,82
Mount Baker,103
North Admiral,118
North Beach/Blue Ridge,28
North Beacon Hill,191
North College Park,62
North Delridge,66
North Queen Anne,168
Olympic Hills,22
Phinney Ridge,140
Pike-Market,245
Pinehurst,29
Pioneer Square,78
Portage Bay,25
Rainier Beach,59
Rainier View,21
Ravenna,109
Riverview,53
Roosevelt,87
Roxhill,21
Seaview,36
Seward Park,84
South Beacon Hill,33
South Delridge,46
South Lake Union,248
South Park,16
Southeast Magnolia,66
Stevens,242
Sunset Hill,53
University District,256
Victory Heights,34
View Ridge,15
Wallingford,325
Wedgwood,51
West Queen Anne,147
West Woodland,110
Westlake,79
Whittier Heights,68
Windermere,23
Yesler Terrace,55
